Rank,Team,Wins,Losses,Conference,Total Margin,Teams Played,Opinion,Win Percentage,Win Percentage Rank,Strength of Schedule Rank,SOS Raw,Margin Rank,Conference Strength,Previous
80,EAST CAROLINA,2,3,AMERICAN,-31,FCS145;NC STATE;SOUTH CAROLINA;VIRGINIA TECH;VIRGINIA TECH,76,0.4,75,47,68.2,102,39,70
81,MIDDLE TENNESSEE,3,2,CONFERENCE USA,60,FCS145;VANDERBILT;BOWLING GREEN;LOUISIANA TECH;LOUISIANA TECH,86,0.6,45,122,108.6,39,117,78
82,WESTERN KENTUCKY,2,3,CONFERENCE USA,9,RICE;ALABAMA;MIAMI (OH);VANDERBILT;VANDERBILT,82,0.4,75,67,79.8,74,117,74
83,AKRON,2,3,MAC,-8,FCS145;WISCONSIN;MARSHALL;APPALACHIAN STATE;APPALACHIAN STATE,75,0.4,75,69,80.4,86,91,77
84,USC,1,4,PAC-12,-33,ALABAMA;UTAH STATE;STANFORD;UTAH;UTAH,59,0.2,107,1,25.4,105,52,97
85,OHIO,3,2,MAC,37,TEXAS STATE;KANSAS;TENNESSEE;FCS145;FCS145,98,0.6,45,114,103.2,52,91,87
86,BOSTON COLLEGE,3,2,ACC,31,GEORGIA TECH;UMASS;VIRGINIA TECH;FCS145;FCS145,101,0.6,45,108,97.2,58,26,92
87,ILLINOIS,1,2,BIG-10,0,FCS143;NORTH CAROLINA;WESTERN MICHIGAN,79,0.33333334,97,28,63.0,79,13,96
88,UTAH STATE,2,3,MOUNTAIN WEST,11,FCS145;USC;ARKANSAS STATE;AIR FORCE;AIR FORCE,87,0.4,75,82,85.8,72,78,80
89,SOUTH ALABAMA,3,2,SUN BELT,-17,MISSISSIPPI STATE;GEORGIA SOUTHERN;LOUISIANA LAFAYETTE;FCS145;FCS145,81,0.6,45,107,96.6,96,104,89
90,WASHINGTON STATE,1,2,PAC-12,44,FCS95;BOISE STATE;IDAHO,99,0.33333334,97,51,71.0,32,52,95
91,COLORADO STATE,2,3,MOUNTAIN WEST,-16,COLORADO;UTSA;FCS145;MINNESOTA;MINNESOTA,94,0.4,75,39,66.6,95,78,91
92,SMU,2,3,AMERICAN,-59,NORTH TEXAS;BAYLOR;FCS137;TCU;TCU,95,0.4,75,39,66.6,113,39,84
93,LOUISIANA LAFAYETTE,2,3,SUN BELT,-26,BOISE STATE;FCS133;SOUTH ALABAMA;TULANE;TULANE,84,0.4,75,56,75.0,100,104,90
94,CONNECTICUT,2,3,AMERICAN,-12,FCS145;NAVY;VIRGINIA;SYRACUSE;SYRACUSE,83,0.4,75,92,89.8,91,39,83
95,WYOMING,2,3,MOUNTAIN WEST,-12,NORTHERN ILLINOIS;NEBRASKA;FCS145;EASTERN MICHIGAN;EASTERN MICHIGAN,92,0.4,75,70,81.6,91,78,85
96,OLD DOMINION,3,2,CONFERENCE USA,10,FCS145;APPALACHIAN STATE;NC STATE;UTSA;UTSA,97,0.6,45,113,102.2,73,117,94
97,OREGON STATE,1,3,PAC-12,-5,MINNESOTA;FCS145;BOISE STATE;BOISE STATE,100,0.25,103,12,50.25,85,52,100
98,MARSHALL,1,3,CONFERENCE USA,-27,FCS145;AKRON;LOUISVILLE;LOUISVILLE,80,0.25,103,22,57.5,106,117,99
99,NEVADA,2,3,MOUNTAIN WEST,-22,FCS136;NOTRE DAME;BUFFALO;PURDUE;PURDUE,88,0.4,75,103,95.6,99,78,88
100,NORTH TEXAS,3,2,CONFERENCE USA,-10,SMU;FCS145;FLORIDA;RICE;RICE,106,0.6,45,112,101.0,89,117,98
101,NORTHWESTERN,1,4,BIG-10,-14,WESTERN MICHIGAN;FCS129;DUKE;NEBRASKA;NEBRASKA,102,0.2,107,8,46.6,94,13,105
102,IDAHO,3,2,SUN BELT,-86,FCS139;WASHINGTON;WASHINGTON STATE;UNLV;UNLV,105,0.6,45,94,90.6,118,104,101
103,VIRGINIA,2,3,ACC,-10,FCS115;OREGON;CONNECTICUT;CENTRAL MICHIGAN;CENTRAL MICHIGAN,121,0.4,75,31,64.2,89,26,114
104,LOUISIANA TECH,1,4,CONFERENCE USA,6,ARKANSAS;FCS145;TEXAS TECH;MIDDLE TENNESSEE;MIDDLE TENNESSEE,91,0.2,107,60,76.0,75,117,103
105,IOWA STATE,2,3,BIG-12,3,FCS130;IOWA;TCU;SAN JOSE STATE;SAN JOSE STATE,117,0.4,75,80,85.2,76,65,115
106,TEXAS STATE,1,3,SUN BELT,-159,OHIO;ARKANSAS;HOUSTON;HOUSTON,112,0.25,103,2,32.5,127,104,107
107,KANSAS,1,2,BIG-12,-3,FCS145;OHIO;MEMPHIS,110,0.33333334,97,77,84.333336,84,65,106
108,FRESNO STATE,1,4,MOUNTAIN WEST,-54,NEBRASKA;FCS145;TOLEDO;TULSA;TULSA,111,0.2,107,20,54.8,111,78,112
109,BUFFALO,2,2,MAC,-26,FCS134;NEVADA;ARMY;ARMY,122,0.5,72,64,77.5,104,91,117
110,NEW MEXICO,1,2,MOUNTAIN WEST,17,FCS145;NEW MEXICO STATE;RUTGERS,104,0.33333334,97,126,112.333336,62,78,102
111,UNLV,1,4,MOUNTAIN WEST,0,FCS137;UCLA;CENTRAL MICHIGAN;IDAHO;IDAHO,108,0.2,107,83,86.2,79,78,104
112,UTEP,1,4,CONFERENCE USA,-124,NEW MEXICO STATE;TEXAS;ARMY;SOUTHERN MISSISSIPPI;SOUTHERN MISSISSIPPI,109,0.2,107,23,59.6,124,117,109
113,HAWAII,1,3,MOUNTAIN WEST,-94,CALIFORNIA;MICHIGAN;FCS145;ARIZONA,107,0.25,103,44,67.75,123,78,113
114,FLORIDA ATLANTIC,1,4,CONFERENCE USA,-84,FCS145;MIAMI;KANSAS;BALL STATE;BALL STATE,96,0.2,107,62,76.4,117,117,111
115,LOUISIANA MONROE,1,2,SUN BELT,-27,FCS145;OKLAHOMA;GEORGIA SOUTHERN,103,0.33333334,97,87,88.0,107,104,108
116,GEORGIA STATE,0,3,SUN BELT,-50,BALL STATE;AIR FORCE;WISCONSIN,113,0.0,122,3,33.0,116,104,122
117,BOWLING GREEN,1,4,MAC,-234,OHIO STATE;FCS136;MIDDLE TENNESSEE;MEMPHIS;MEMPHIS,119,0.2,107,16,51.6,128,91,119
118,SAN JOSE STATE,1,4,MOUNTAIN WEST,-89,TULSA;FCS135;UTAH;IOWA STATE;IOWA STATE,115,0.2,107,81,85.6,119,78,110
119,CHARLOTTE,1,4,CONFERENCE USA,-97,LOUISVILLE;FCS145;EASTERN MICHIGAN;TEMPLE;TEMPLE,116,0.2,107,53,73.0,121,117,120
120,KENT STATE,1,4,MAC,-99,PENN STATE;FCS134;FCS138;ALABAMA;ALABAMA,124,0.2,107,46,68.0,122,91,118
121,UTSA,1,4,CONFERENCE USA,-28,FCS145;COLORADO STATE;ARIZONA STATE;OLD DOMINION;OLD DOMINION,114,0.2,107,93,90.0,101,117,116
122,MIAMI (OH),0,5,MAC,-49,IOWA;FCS131;WESTERN KENTUCKY;CINCINNATI;CINCINNATI,118,0.0,122,43,67.4,108,91,124
123,UMASS,0,5,INDEPENDENT,-52,FLORIDA;BOSTON COLLEGE;FLORIDA INTERNATIONAL;MISSISSIPPI STATE;MISSISSIPPI STATE,123,0.0,122,57,75.2,110,39,123
124,RICE,0,5,CONFERENCE USA,-91,WESTERN KENTUCKY;ARMY;BAYLOR;NORTH TEXAS;NORTH TEXAS,120,0.0,122,36,65.6,120,117,126
125,NEW MEXICO STATE,1,4,SUN BELT,-127,UTEP;NEW MEXICO;KENTUCKY;TROY;TROY,127,0.2,107,58,75.4,125,104,121
126,FLORIDA INTERNATIONAL,0,5,CONFERENCE USA,-134,INDIANA;MARYLAND;UMASS;UCF;UCF,126,0.0,122,28,63.0,126,117,128
127,NORTHERN ILLINOIS,0,5,MAC,-61,WYOMING;SOUTH FLORIDA;SAN DIEGO STATE;FCS129;FCS129,125,0.0,122,65,78.8,114,91,125
128,ARKANSAS STATE,0,5,SUN BELT,-82,TOLEDO;AUBURN;UTAH STATE;FCS145;FCS145,128,0.0,122,91,89.6,115,104,127
