Rank,Team,Wins,Losses,Conference,Total Margin,Teams Played,Opinion,Win Percentage,Win Percentage Rank,Strength of Schedule Rank,SOS Raw,Margin Rank,Conference Strength,Previous
59,Nc State,2,1,Acc,58,Fcs110;East Carolina;Old Dominion,58,0.6666667,48,105,92.333336,23,39,63
60,California,2,2,Pac-12,12,Hawaii;San Diego State;Texas;Arizona State,45,0.5,55,10,51.0,73,26,33
61,Ball State,3,1,Mac,31,Georgia State;Indiana;Fcs138;Florida Atlantic,71,0.75,28,108,96.5,57,91,74
62,Penn State,2,2,Big-10,-15,Kent State;Pittsburgh;Temple;Michigan,63,0.5,55,23,61.75,98,13,42
63,Ucf,2,2,American,34,Fcs145;Michigan;Maryland;Florida International,66,0.5,55,65,80.75,54,65,71
64,Eastern Michigan,3,1,Mac,28,Fcs145;Missouri;Charlotte;Wyoming,90,0.75,28,118,102.0,58,91,93
65,Arizona,2,2,Pac-12,20,Byu;Fcs137;Hawaii;Washington,65,0.5,55,61,79.25,66,26,69
66,Mississippi State,2,2,Sec,21,South Alabama;South Carolina;Lsu;Umass,69,0.5,55,55,78.25,64,1,75
67,South Carolina,2,2,Sec,-12,Vanderbilt;Mississippi State;East Carolina;Kentucky,72,0.5,55,57,78.75,95,1,61
68,Tulane,2,2,American,36,Wake Forest;Fcs145;Navy;Louisiana Lafayette,78,0.5,55,59,79.0,51,65,84
69,Duke,2,2,Acc,25,Fcs145;Wake Forest;Northwestern;Notre Dame,77,0.5,55,59,79.0,59,39,83
70,East Carolina,2,2,American,6,Fcs145;Nc State;South Carolina;Virginia Tech,76,0.5,55,56,78.5,78,65,66
71,Rutgers,2,2,Big-10,5,Washington;Fcs145;New Mexico;Rutgers,70,0.5,55,82,85.5,80,13,76
72,Purdue,2,1,Big-10,13,Fcs138;Cincinnati;Nevada,85,0.6666667,48,103,91.666664,68,13,89
73,Vanderbilt,2,2,Sec,-10,South Carolina;Middle Tennessee;Georgia Tech;Western Kentucky,73,0.5,55,34,65.5,93,1,77
74,Western Kentucky,2,2,Conference Usa,10,Rice;Alabama;Miami (oh);Vanderbilt,82,0.5,55,65,80.75,75,117,67
75,Appalachian State,2,2,Sun Belt,-11,Tennessee;Old Dominion;Miami;Akron,67,0.5,55,9,49.0,94,104,70
76,Temple,2,2,American,44,Army;Fcs135;Penn State;Charlotte,89,0.5,55,79,84.5,46,65,95
77,Akron,2,2,Mac,-1,Fcs145;Wisconsin;Marshall;Appalachian State,75,0.5,55,50,76.0,83,91,73
78,Middle Tennessee,2,2,Conference Usa,56,Fcs145;Vanderbilt;Bowling Green;Louisiana Tech,86,0.5,55,121,106.0,38,117,91
79,Syracuse,2,2,Acc,-26,Fcs133;Louisville;South Florida;Connecticut,74,0.5,55,23,61.75,105,39,79
80,Utah State,2,2,Mountain West,18,Fcs145;Usc;Arkansas State;Air Force,87,0.5,55,106,96.25,67,78,92
81,Notre Dame,1,3,Independent,15,Texas;Nevada;Michigan State;Duke,64,0.25,104,11,52.0,71,1,39
82,Oklahoma,1,2,Big-12,11,Houston;Louisiana Monroe;Ohio State,54,0.33333334,94,4,39.666668,72,52,59
83,Connecticut,2,2,American,-5,Fcs145;Navy;Virginia;Syracuse,83,0.5,55,118,102.0,89,65,82
84,Smu,2,2,American,-29,North Texas;Baylor;Fcs137;Tcu,95,0.5,55,64,80.5,106,65,72
85,Wyoming,2,2,Mountain West,-9,Northern Illinois;Nebraska;Fcs145;Eastern Michigan,92,0.5,55,99,91.0,91,78,80
86,Kentucky,2,2,Sec,-20,Southern Mississippi;Florida;New Mexico State;South Carolina,93,0.5,55,32,65.0,102,1,97
87,Ohio,2,2,Mac,21,Texas State;Kansas;Tennessee;Fcs145,98,0.5,55,97,90.5,64,91,103
88,Nevada,2,2,Mountain West,-12,Fcs136;Notre Dame;Buffalo;Purdue,88,0.5,55,114,98.0,95,78,85
89,South Alabama,2,2,Sun Belt,-18,Mississippi State;Georgia Southern;Louisiana Lafayette;Fcs145,81,0.5,55,82,85.5,100,104,86
90,Louisiana Lafayette,2,2,Sun Belt,-24,Boise State;Fcs133;South Alabama;Tulane,84,0.5,55,69,81.5,103,104,87
91,Colorado State,2,2,Mountain West,-9,Colorado;Utsa;Fcs145;Minnesota,94,0.5,55,71,83.0,91,78,98
92,Boston College,2,2,Acc,-1,Georgia Tech;Umass;Virginia Tech;Fcs145,101,0.5,55,94,89.5,83,39,106
93,Byu,1,3,Independent,-5,Arizona;Utah;Ucla;West Virginia,53,0.25,104,2,37.25,89,1,56
